building_index,feature_id,name,address,function,height,year_of_construction,opening_embodied_emissions,envelope_embodied_emissions,component_embodied_emissions,opening_end_of_life_emissions,envelope_end_of_life_emissions,component_end_of_life_emissions,total_embodied_emissions,total_end_of_life_emissions,total_lca_emissions
33,100032,04028414,rue Lauzon  (PFD) 43,1000,11.0,1955,4765.803299972502,30895348.994427804,30900114.797727775,213231.11639962497,638038.4838571219,851269.6002567469,61800229.59545555,1702539.2005134937,63502768.79596905
34,100033,01036931,rue Mackay  (MTL) 1440 Ã  1448,1000,59.0,1965,154704.83665415304,1001407177.2909318,1001561882.127586,6921789.036567457,20663347.61336064,27585136.649928097,2003123764.255172,55170273.29985619,2058294037.5550282
35,100034,05057554,7e Avenue  (LCH) 465 Ã  467,1000,11.0,1920,14678.346396212157,104018321.27827103,104032999.62466724,729836.588613149,2159481.2020629286,2889317.790676078,208065999.24933448,5778635.581352156,213844634.83068663
36,100035,01045637,rue Saint-Jacques  (MTL) 4351 Ã  4383,1000,12.0,1882,10178.674704021718,70968075.28595257,70978253.96065658,506103.95899249305,1472236.3461829429,1978340.305175436,141956507.92131317,3956680.610350872,145913188.53166404
37,100036,02083659,rue d' Amiens  (MTN) 4939 Ã  4941,1000,9.0,1963,11349.465326779879,82993663.1535427,83005012.61886948,507796.69445905817,1727298.5143108151,2235095.2087698733,166010025.23773897,4470190.4175397465,170480215.6552787
38,100037,01003506,rue Saint-Christophe  (MTL) 1744 Ã  1746,1000,26.0,1875,24478.32279787186,156525031.76971054,156549510.0925084,1217110.9145087688,3226704.5471467637,4443815.461655533,313099020.1850168,8887630.923311066,321986651.10832787
39,100038,02103800,3e Rue  (RDP) 9745,1000,9.0,1953,10071.045231405133,76419573.35643297,76429644.40166438,450597.74456407514,1594507.0835210497,2045104.828085125,152859288.80332875,4090209.65617025,156949498.459499
40,100039,05083866,avenue Lafleur  (LSL) 460 Ã  466,1000,9.0,1956,30101.80221106344,266262038.85551044,266292140.65772152,1346811.961614696,5603894.360833777,6950706.322448473,532584281.31544304,13901412.644896947,546485693.96034
41,100040,01047875,rue Notre-Dame Ouest  (MTL+MTO) 2461 Ã  2483,1000,14.0,1927,33847.26113027036,280969652.2297841,281003499.49091434,1682953.1699558282,5893731.561279293,7576684.731235121,562006998.9818287,15153369.462470243,577160368.444299
42,100041,03075658,rue du FrÃ¨re-AndrÃ©  (MTL) 3715 Ã  3719,1000,16.0,1930,30540.686044250826,224110637.25447342,224141177.94051766,1518543.6775216884,4664348.498552607,6182892.176074296,448282355.8810353,12365784.352148592,460648140.2331839
43,100042,03075656,rue du FrÃ¨re-AndrÃ©  (MTL) 3721 Ã  3725,1000,33.0,1930,63639.20521127196,422691402.77414584,422755041.9793571,3164267.9072782076,8735143.25195302,11899411.159231229,845510083.9587142,23798822.318462458,869308906.2771767
44,100043,03075652,rue du FrÃ¨re-AndrÃ©  (MTL) 3737,1000,16.0,1929,29051.480685022198,210049276.49063838,210078327.9713234,1444497.4239597535,4367235.702592719,5811733.126552473,420156655.9426468,11623466.253104946,431780122.1957517
45,100044,01091136,rue Notre-Dame Ouest  (MTL+MTO) 29 Ã  35,1000,21.0,1896,37359.17478276106,264083120.24033692,264120479.41511968,1857572.504481084,5481717.844966465,7339290.349447548,528240958.83023936,14678580.698895097,542919539.5291345
